rain_risk,wind_risk,visibility_risk,slope_risk,traffic_risk_index,night_flag,monsoon_flag,road_type_enc,terrain_enc,risk_score,risk_class
1.0,1.0,0.6,0.1,62,0,1,1,1,53.96,Moderate
0.2,0.3,0.3,0.4,30,0,0,1,2,25.0,Safe
1.0,1.0,0.6,0.4,52,0,1,1,2,59.76,Moderate
1.0,0.3,0.6,0.4,51,0,1,1,2,53.98,Moderate
0.4,0.3,0.3,0.1,35,0,0,1,1,21.9,Safe
0.2,0.3,0.1,0.1,44,0,0,1,1,16.72,Safe
1.0,0.6,0.3,0.4,62,0,1,1,2,53.56,Moderate
0.2,0.3,0.1,1.0,25,0,0,2,3,34.5,Moderate
1.0,0.3,1.0,0.7,49,1,1,2,3,78.02,Dangerous
1.0,1.0,1.0,1.0,56,1,1,2,3,88.48,Dangerous
0.2,0.3,0.1,0.1,26,1,0,1,1,21.48,Safe
0.2,0.3,0.3,0.4,18,1,0,1,2,30.84,Moderate
1.0,1.0,0.6,0.4,64,0,1,1,2,61.92,Dangerous
0.2,0.1,0.6,0.1,42,1,0,1,1,30.76,Moderate
0.2,0.3,0.6,0.1,50,1,0,1,1,33.8,Moderate
0.4,0.3,0.3,0.7,46,1,1,1,2,49.08,Moderate
0.2,0.1,0.3,0.4,29,1,0,1,2,31.22,Moderate
0.4,1.0,0.1,0.7,35,0,1,1,2,41.5,Moderate
0.4,0.3,0.6,0.4,44,1,0,1,2,43.92,Moderate
0.2,0.3,0.6,0.4,17,1,0,1,2,35.46,Moderate
0.2,0.3,0.3,0.1,42,0,0,1,1,19.56,Safe
0.7,0.6,0.6,0.4,31,1,1,1,2,55.38,Moderate
0.2,0.1,0.1,0.1,51,0,0,1,1,16.38,Safe
0.2,0.3,0.3,0.1,46,0,0,1,1,20.28,Safe
0.2,0.1,0.6,0.1,27,1,0,1,1,28.06,Safe
0.2,0.3,0.3,0.7,37,0,0,1,2,29.86,Safe
1.0,0.3,1.0,1.0,41,1,1,2,3,80.18,Dangerous
0.2,0.3,0.3,0.4,29,1,0,1,2,32.82,Moderate
0.4,0.1,0.1,1.0,60,0,0,4,3,46.4,Moderate
0.2,0.3,0.1,1.0,27,1,0,4,3,46.46,Moderate
0.2,0.3,0.1,1.0,21,1,0,2,3,41.78,Moderate
0.2,0.1,0.1,1.0,38,0,0,4,3,38.84,Moderate
0.2,0.3,0.1,1.0,46,0,0,4,3,41.88,Moderate
0.2,0.3,0.3,1.0,34,0,0,2,3,39.32,Moderate
0.2,0.3,0.3,1.0,58,0,0,4,3,47.24,Moderate
0.2,0.3,0.3,0.7,30,1,0,4,3,46.6,Moderate
1.0,1.0,0.6,0.7,51,1,1,4,3,81.18,Dangerous
0.7,0.3,0.3,1.0,40,1,1,4,3,67.0,Dangerous
0.2,0.3,0.6,1.0,21,1,0,2,3,49.78,Moderate
1.0,0.6,0.3,1.0,78,1,1,4,3,81.64,Dangerous
0.7,0.6,0.6,1.0,63,0,1,4,3,70.34,Dangerous
0.2,0.3,0.3,0.7,25,1,0,1,2,35.7,Moderate
0.2,0.3,0.6,0.4,42,1,0,1,2,39.96,Moderate
0.2,0.3,0.1,1.0,60,0,0,4,3,44.4,Moderate
0.7,0.6,0.6,1.0,34,1,1,4,3,73.12,Dangerous
1.0,1.0,1.0,1.0,49,1,1,4,3,90.82,Dangerous
0.2,0.1,0.3,1.0,38,0,0,4,3,42.04,Moderate
0.4,0.1,0.1,1.0,28,1,0,2,3,45.04,Moderate
0.7,1.0,0.6,0.7,48,0,1,4,3,67.24,Dangerous
0.2,0.3,0.1,1.0,35,1,0,4,3,47.9,Moderate
0.7,1.0,0.6,0.7,55,1,1,1,2,66.5,Dangerous
0.2,0.3,0.3,0.1,21,1,0,1,1,23.78,Safe
0.2,0.3,0.1,0.4,34,0,0,1,2,22.52,Safe
0.2,0.3,0.3,0.1,43,1,0,1,1,27.74,Safe
0.2,0.3,0.1,0.1,34,1,0,1,1,22.92,Safe
1.0,0.3,0.3,0.1,49,0,1,1,1,41.22,Moderate
0.2,0.3,0.1,0.4,32,0,0,1,2,22.16,Safe
0.2,0.3,0.1,0.4,37,0,0,1,2,23.06,Safe
0.2,0.1,0.3,0.1,42,1,0,1,1,25.96,Safe
0.7,1.0,0.6,0.7,44,0,1,1,2,56.52,Moderate
1.0,0.3,0.6,0.4,57,0,1,1,2,55.06,Moderate
0.2,0.1,0.3,0.4,24,1,0,1,2,30.32,Moderate
0.2,0.3,0.1,0.7,25,1,0,1,2,32.5,Moderate
1.0,0.3,0.3,0.4,62,0,1,1,2,51.16,Moderate
0.2,0.1,0.1,0.1,42,0,0,1,1,14.76,Safe
0.2,0.1,0.3,0.1,25,0,0,1,1,14.9,Safe
0.2,0.1,0.3,0.4,28,1,0,1,2,31.04,Moderate
0.2,0.1,0.6,0.4,16,1,0,1,2,33.68,Moderate
0.2,0.3,0.1,0.4,45,0,0,1,2,24.5,Safe
0.2,0.1,0.1,0.1,50,0,0,1,1,16.2,Safe
0.2,0.1,0.3,0.1,33,0,0,1,1,16.34,Safe
0.2,0.3,0.1,0.4,42,0,0,1,2,23.96,Safe
0.2,0.1,0.3,0.1,21,1,0,1,1,22.18,Safe
0.2,0.3,0.3,0.4,24,1,0,1,2,31.92,Moderate
1.0,1.0,0.6,0.4,46,0,1,1,2,58.68,Moderate
1.0,0.3,0.3,0.1,50,0,1,1,1,41.4,Moderate
0.2,0.3,0.1,0.1,27,0,0,1,1,13.66,Safe
0.7,1.0,0.1,0.4,39,0,1,1,2,44.02,Moderate
0.2,0.3,0.3,0.1,51,0,0,1,1,21.18,Safe
0.2,0.1,0.3,0.1,48,0,0,1,1,19.04,Safe
0.4,0.1,0.3,1.0,45,0,0,4,3,46.9,Moderate
0.2,0.3,0.1,1.0,31,1,0,4,3,47.18,Moderate
0.4,0.3,0.3,1.0,37,1,0,4,3,55.06,Moderate
0.2,0.3,0.1,1.0,58,0,0,4,3,44.04,Moderate
0.4,0.3,0.6,1.0,29,1,0,4,3,58.42,Moderate
0.2,0.1,0.3,1.0,37,1,0,2,3,46.26,Moderate
0.4,0.1,0.1,0.7,61,0,0,4,3,42.98,Moderate
1.0,0.3,1.0,1.0,73,0,1,4,3,81.54,Dangerous
