rain_risk,wind_risk,visibility_risk,slope_risk,traffic_risk_index,night_flag,monsoon_flag,road_type_enc,terrain_enc
1.0,1.0,0.6,0.1,62,0,1,1,1
0.2,0.3,0.3,0.4,30,0,0,1,2
1.0,1.0,0.6,0.4,52,0,1,1,2
1.0,0.3,0.6,0.4,51,0,1,1,2
0.4,0.3,0.3,0.1,35,0,0,1,1
0.2,0.3,0.1,0.1,44,0,0,1,1
1.0,0.6,0.3,0.4,62,0,1,1,2
0.2,0.3,0.1,1.0,25,0,0,2,3
1.0,0.3,1.0,0.7,49,1,1,2,3
1.0,1.0,1.0,1.0,56,1,1,2,3
0.2,0.3,0.1,0.1,26,1,0,1,1
0.2,0.3,0.3,0.4,18,1,0,1,2
1.0,1.0,0.6,0.4,64,0,1,1,2
0.2,0.1,0.6,0.1,42,1,0,1,1
0.2,0.3,0.6,0.1,50,1,0,1,1
0.4,0.3,0.3,0.7,46,1,1,1,2
0.2,0.1,0.3,0.4,29,1,0,1,2
0.4,1.0,0.1,0.7,35,0,1,1,2
0.4,0.3,0.6,0.4,44,1,0,1,2
0.2,0.3,0.6,0.4,17,1,0,1,2
0.2,0.3,0.3,0.1,42,0,0,1,1
0.7,0.6,0.6,0.4,31,1,1,1,2
0.2,0.1,0.1,0.1,51,0,0,1,1
0.2,0.3,0.3,0.1,46,0,0,1,1
0.2,0.1,0.6,0.1,27,1,0,1,1
0.2,0.3,0.3,0.7,37,0,0,1,2
1.0,0.3,1.0,1.0,41,1,1,2,3
0.2,0.3,0.3,0.4,29,1,0,1,2
0.4,0.1,0.1,1.0,60,0,0,4,3
0.2,0.3,0.1,1.0,27,1,0,4,3
0.2,0.3,0.1,1.0,21,1,0,2,3
0.2,0.1,0.1,1.0,38,0,0,4,3
0.2,0.3,0.1,1.0,46,0,0,4,3
0.2,0.3,0.3,1.0,34,0,0,2,3
0.2,0.3,0.3,1.0,58,0,0,4,3
0.2,0.3,0.3,0.7,30,1,0,4,3
1.0,1.0,0.6,0.7,51,1,1,4,3
0.7,0.3,0.3,1.0,40,1,1,4,3
0.2,0.3,0.6,1.0,21,1,0,2,3
1.0,0.6,0.3,1.0,78,1,1,4,3
0.7,0.6,0.6,1.0,63,0,1,4,3
0.2,0.3,0.3,0.7,25,1,0,1,2
0.2,0.3,0.6,0.4,42,1,0,1,2
0.2,0.3,0.1,1.0,60,0,0,4,3
0.7,0.6,0.6,1.0,34,1,1,4,3
1.0,1.0,1.0,1.0,49,1,1,4,3
0.2,0.1,0.3,1.0,38,0,0,4,3
0.4,0.1,0.1,1.0,28,1,0,2,3
0.7,1.0,0.6,0.7,48,0,1,4,3
0.2,0.3,0.1,1.0,35,1,0,4,3
0.7,1.0,0.6,0.7,55,1,1,1,2
0.2,0.3,0.3,0.1,21,1,0,1,1
0.2,0.3,0.1,0.4,34,0,0,1,2
0.2,0.3,0.3,0.1,43,1,0,1,1
0.2,0.3,0.1,0.1,34,1,0,1,1
1.0,0.3,0.3,0.1,49,0,1,1,1
0.2,0.3,0.1,0.4,32,0,0,1,2
0.2,0.3,0.1,0.4,37,0,0,1,2
0.2,0.1,0.3,0.1,42,1,0,1,1
0.7,1.0,0.6,0.7,44,0,1,1,2
1.0,0.3,0.6,0.4,57,0,1,1,2
0.2,0.1,0.3,0.4,24,1,0,1,2
0.2,0.3,0.1,0.7,25,1,0,1,2
1.0,0.3,0.3,0.4,62,0,1,1,2
0.2,0.1,0.1,0.1,42,0,0,1,1
0.2,0.1,0.3,0.1,25,0,0,1,1
0.2,0.1,0.3,0.4,28,1,0,1,2
0.2,0.1,0.6,0.4,16,1,0,1,2
0.2,0.3,0.1,0.4,45,0,0,1,2
